Program;Version;UncFdpMax;NoUncFdpMax;Status;SubFdpMax;NoSubFdpMax;LessFdpUnc;MoreFdpUnc;FdpMaxDF
Closure;34b;0.003584;1;clear;0.000000;0;False;True;0.003584
Closure;35b;1.000000;1;clear;0.000000;0;False;True;1.000000
Closure;36b;1.000000;4;clear;0.000000;0;False;True;1.000000
Closure;37b;0.500000;5;clear;0.000000;0;False;True;0.500000
Closure;38b;0.250000;2;clear;0.000000;0;False;True;0.250000
Closure;39b;0.333333;2;clear;0.000000;0;False;True;0.333333
Closure;3b;0.500000;1;clear;0.000000;0;False;True;0.500000
Closure;40b;1.000000;1;clear;0.000000;0;False;True;1.000000
Closure;41b;0.142857;2;clear;0.142857;3;False;False;0.142857
Closure;42b;0.015625;1;clear;0.000000;0;False;True;0.015625
Closure;43b;0.666667;7;clear;0.000000;0;False;True;0.666667
Closure;44b;0.125000;1;clear;0.000000;0;False;True;0.125000
Closure;45b;0.500000;1;clear;0.000000;0;False;True;0.500000
Closure;46b;1.000000;5;clear;0.000000;0;False;True;1.000000
Closure;47b;1.000000;147;clear;1.000000;149;False;False;1.000000
Closure;48b;0.500000;1;clear;0.000000;0;False;True;0.500000
Closure;49b;1.000000;41;clear;1.000000;4;False;False;1.000000
Closure;4b;0.428571;2;clear;0.428571;6;False;False;0.428571
Closure;50b;1.000000;8;clear;1.000000;12;False;False;1.000000
Closure;51b;0.027778;3;clear;0.000000;0;False;True;0.027778
Closure;52b;0.250000;1;clear;0.000000;0;False;True;0.250000
Closure;53b;0.250000;3;clear;0.000000;0;False;True;0.250000
Closure;54b;0.166667;1;clear;0.000000;0;False;True;0.166667
Closure;55b;1.000000;2;clear;0.000000;0;False;True;1.000000
Closure;56b;0.000000;0;notclear;1.000000;13;True;False;1.000000
Closure;57b;0.083333;3;clear;0.083333;8;False;False;0.083333
Closure;58b;0.071429;12;clear;0.000000;0;False;True;0.071429
Closure;59b;0.250000;5;clear;0.000000;0;False;True;0.250000
Closure;5b;0.500000;1;clear;0.000000;0;False;True;0.500000
Closure;60b;0.500000;11;clear;0.000000;0;False;True;0.500000
Closure;61b;0.750000;8;clear;0.000000;0;False;True;0.750000
Closure;62b;1.000000;2;clear;0.000000;0;False;True;1.000000
Closure;64b;0.333333;21;clear;0.333333;6;False;False;0.333333
Closure;65b;1.000000;2;clear;0.000000;0;False;True;1.000000
Closure;66b;0.500000;1;clear;0.000000;0;False;True;0.500000
Closure;67b;1.000000;1;clear;0.000000;0;False;True;1.000000
Closure;68b;0.500000;3;clear;0.500000;2;False;False;0.500000
Closure;69b;0.111111;9;clear;0.111111;2;False;False;0.111111
Closure;6b;1.000000;5;clear;1.000000;7;False;False;1.000000
Closure;70b;0.333333;1;clear;0.000000;0;False;True;0.333333
Closure;71b;0.500000;2;clear;0.500000;6;False;False;0.500000
Closure;72b;0.500000;8;clear;0.000000;0;False;True;0.500000
Closure;73b;0.500000;1;clear;0.000000;0;False;True;0.500000
Closure;74b;1.000000;16;clear;1.000000;2;False;False;1.000000
Closure;75b;1.000000;5;clear;0.000000;0;False;True;1.000000
Closure;76b;1.000000;3;clear;0.000000;0;False;True;1.000000
Closure;77b;1.000000;1;clear;0.000000;0;False;True;1.000000
Closure;78b;1.000000;3;clear;0.000000;0;False;True;1.000000
Closure;79b;0.800000;2;clear;0.000000;0;False;True;0.800000
Closure;7b;0.666667;4;clear;0.666667;8;False;False;0.666667
Closure;80b;1.000000;14;clear;1.000000;1;False;False;1.000000
Closure;81b;0.007042;4;clear;0.000000;0;False;True;0.007042
Closure;82b;0.142857;1;clear;0.000000;0;False;True;0.142857
Closure;83b;1.000000;2;clear;0.000000;0;False;True;1.000000
Closure;84b;1.000000;3;clear;0.000000;0;False;True;1.000000
Closure;85b;1.000000;6;clear;0.000000;0;False;True;1.000000
Closure;86b;1.000000;4;clear;1.000000;2;False;False;1.000000
Closure;87b;0.500000;6;clear;0.000000;0;False;True;0.500000
Closure;88b;1.000000;4;clear;0.000000;0;False;True;1.000000
Closure;89b;1.000000;2;clear;0.000000;0;False;True;1.000000
Closure;8b;0.333333;7;clear;0.333333;4;False;False;0.333333
Closure;90b;0.500000;10;clear;0.000000;0;False;True;0.500000
Closure;91b;0.200000;1;clear;0.000000;0;False;True;0.200000
Closure;92b;1.000000;3;clear;0.000000;0;False;True;1.000000
Closure;94b;0.500000;1;clear;0.000000;0;False;True;0.500000
Closure;95b;0.285714;1;clear;0.000000;0;False;True;0.285714
Closure;96b;0.047619;5;clear;0.000000;0;False;True;0.047619
Closure;97b;1.000000;4;clear;0.000000;0;False;True;1.000000
Closure;98b;0.500000;7;clear;0.000000;0;False;True;0.500000
Closure;99b;0.500000;1;clear;0.000000;0;False;True;0.500000
Closure;9b;1.000000;8;clear;0.000000;0;False;True;1.000000
Codec;10b;0.090909;3;clear;0.090909;1;False;False;0.090909
Codec;11b;0.500000;2;clear;0.000000;0;False;True;0.500000
Codec;12b;1.000000;1;clear;0.000000;0;False;True;1.000000
Codec;13b;0.400000;1;clear;0.000000;0;False;True;0.400000
Codec;14b;0.200000;1;clear;0.200000;1;False;False;0.200000
Codec;15b;1.000000;1;clear;0.000000;0;False;True;1.000000
Codec;16b;1.000000;5;clear;0.000000;0;False;True;1.000000
Codec;17b;0.333333;1;clear;0.000000;0;False;True;0.333333
Codec;18b;1.000000;9;clear;1.000000;13;False;False;1.000000
Codec;1b;0.500000;2;clear;0.000000;0;False;True;0.500000
Codec;2b;0.666667;2;clear;0.000000;0;False;True;0.666667
Codec;3b;0.500000;7;clear;0.500000;2;False;False;0.500000
Codec;4b;0.666667;1;clear;0.666667;1;False;False;0.666667
Codec;5b;0.333333;24;clear;0.333333;8;False;False;0.333333
Codec;6b;0.250000;11;clear;0.250000;1;False;False;0.250000
Codec;7b;0.250000;2;clear;0.000000;0;False;True;0.250000
Codec;8b;0.500000;4;clear;0.500000;5;False;False;0.500000
Codec;9b;0.500000;4;clear;0.000000;0;False;True;0.500000
Collections;25b;1.000000;1;clear;0.000000;0;False;True;1.000000
Collections;26b;0.007692;3;clear;0.000000;0;False;True;0.007692
Collections;27b;0.016129;3;clear;0.000000;0;False;True;0.016129
Collections;28b;1.000000;2;clear;0.000000;0;False;True;1.000000
Compress;10b;1.000000;13;clear;0.000000;0;False;True;1.000000
Compress;11b;1.000000;1;clear;0.000000;0;False;True;1.000000
Compress;12b;0.500000;2;clear;0.500000;4;False;False;0.500000
Compress;13b;0.500000;1;clear;0.000000;0;False;True;0.500000
Compress;14b;0.500000;2;clear;0.000000;0;False;True;0.500000
Compress;15b;1.000000;1;clear;0.000000;0;False;True;1.000000
Compress;16b;1.000000;1;clear;1.000000;3;False;False;1.000000
Compress;17b;0.500000;1;clear;0.000000;0;False;True;0.500000
Compress;18b;1.000000;9;clear;0.000000;0;False;True;1.000000
Compress;19b;1.000000;19;clear;1.000000;1;False;False;1.000000
Compress;1b;1.000000;27;clear;1.000000;3;False;False;1.000000
Compress;20b;1.000000;3;clear;0.000000;0;False;True;1.000000
Compress;21b;1.000000;14;clear;1.000000;14;False;False;1.000000
Compress;22b;1.000000;53;clear;1.000000;24;False;False;1.000000
Compress;23b;1.000000;5;clear;0.000000;0;False;True;1.000000
Compress;24b;1.000000;6;clear;0.000000;0;False;True;1.000000
Compress;25b;1.000000;10;clear;0.000000;0;False;True;1.000000
Compress;26b;0.200000;1;clear;0.000000;0;False;True;0.200000
Compress;27b;1.000000;9;clear;1.000000;4;False;False;1.000000
Compress;28b;1.000000;4;clear;0.000000;0;False;True;1.000000
Compress;29b;1.000000;58;clear;1.000000;1;False;False;1.000000
Compress;2b;1.000000;4;clear;0.000000;0;False;True;1.000000
Compress;30b;1.000000;165;clear;1.000000;228;False;False;1.000000
Compress;31b;1.000000;7;clear;1.000000;4;False;False;1.000000
Compress;32b;0.500000;4;clear;0.000000;0;False;True;0.500000
Compress;33b;1.000000;8;clear;0.000000;0;False;True;1.000000
Compress;34b;0.333333;5;clear;0.333333;3;False;False;0.333333
Compress;35b;0.333333;2;clear;0.000000;0;False;True;0.333333
Compress;36b;1.000000;3;clear;0.000000;0;False;True;1.000000
Compress;37b;0.333333;2;clear;0.333333;1;False;False;0.333333
Compress;38b;1.000000;1;clear;0.000000;0;False;True;1.000000
Compress;39b;0.333333;7;clear;0.333333;11;False;False;0.333333
Compress;3b;1.000000;6;clear;0.000000;0;False;True;1.000000
Compress;40b;0.200000;3;clear;0.200000;14;False;False;0.200000
Compress;41b;0.142857;1;clear;0.142857;5;False;False;0.142857
Compress;42b;0.500000;1;clear;0.000000;0;False;True;0.500000
Compress;43b;0.333333;4;clear;0.000000;0;False;True;0.333333
Compress;45b;1.000000;19;clear;1.000000;17;False;False;1.000000
Compress;46b;0.250000;4;clear;0.000000;0;False;True;0.250000
Compress;47b;0.333333;2;clear;0.000000;0;False;True;0.333333
Compress;4b;1.000000;13;clear;1.000000;18;False;False;1.000000
Compress;5b;1.000000;9;clear;1.000000;3;False;False;1.000000
Compress;6b;0.333333;2;clear;0.333333;8;False;False;0.333333
Compress;7b;0.100000;1;clear;0.000000;0;False;True;0.100000
Compress;8b;1.000000;1;clear;0.000000;0;False;True;1.000000
Compress;9b;0.200000;7;clear;0.000000;0;False;True;0.200000
Csv;10b;0.200000;7;clear;0.000000;0;False;True;0.200000
Csv;11b;0.500000;4;clear;0.500000;4;False;False;0.500000
Csv;12b;0.500000;2;clear;0.000000;0;False;True;0.500000
Csv;13b;0.500000;3;clear;0.500000;1;False;False;0.500000
Csv;14b;0.500000;1;clear;0.000000;0;False;True;0.500000
Csv;15b;0.200000;1;clear;0.000000;0;False;True;0.200000
Csv;16b;0.500000;1;clear;0.500000;2;False;False;0.500000
Csv;1b;0.500000;3;clear;0.000000;0;False;True;0.500000
Csv;2b;0.022222;1;clear;0.022222;7;False;False;0.022222
Csv;3b;1.000000;4;clear;1.000000;3;False;False;1.000000
Csv;4b;0.027027;4;clear;0.000000;0;False;True;0.027027
Csv;5b;0.250000;7;clear;0.000000;0;False;True;0.250000
Csv;6b;0.333333;2;clear;0.000000;0;False;True;0.333333
Csv;7b;0.166667;2;clear;0.166667;6;False;False;0.166667
Csv;8b;1.000000;5;clear;0.000000;0;False;True;1.000000
Csv;9b;0.125000;2;clear;0.125000;2;False;False;0.125000
Gson;10b;0.166667;2;clear;0.166667;6;False;False;0.166667
Gson;11b;0.333333;3;clear;0.000000;0;False;True;0.333333
Gson;12b;0.500000;5;clear;0.000000;0;False;True;0.500000
Gson;13b;0.250000;1;clear;0.000000;0;False;True;0.250000
Gson;14b;1.000000;25;clear;1.000000;21;False;False;1.000000
Gson;15b;0.500000;1;clear;0.500000;1;False;False;0.500000
Gson;16b;0.500000;2;clear;0.500000;2;False;False;0.500000
Gson;17b;1.000000;2;clear;0.000000;0;False;True;1.000000
Gson;18b;0.250000;4;clear;0.250000;6;False;False;0.250000
Gson;1b;1.000000;18;clear;0.000000;0;False;True;1.000000
Gson;2b;0.076923;5;clear;0.000000;0;False;True;0.076923
Gson;3b;0.500000;2;clear;0.000000;0;False;True;0.500000
Gson;4b;1.000000;1;clear;0.000000;0;False;True;1.000000
Gson;5b;1.000000;17;clear;1.000000;39;False;False;1.000000
Gson;6b;0.008475;4;clear;0.008475;2;False;False;0.008475
Gson;7b;0.333333;1;clear;0.333333;1;False;False;0.333333
Gson;9b;0.032258;1;clear;0.000000;0;False;True;0.032258
JacksonCore;10b;1.000000;11;clear;1.000000;15;False;False;1.000000
JacksonCore;11b;1.000000;8;clear;1.000000;9;False;False;1.000000
JacksonCore;12b;0.500000;6;clear;0.000000;0;False;True;0.500000
JacksonCore;13b;1.000000;7;clear;1.000000;1;False;False;1.000000
JacksonCore;14b;1.000000;4;clear;1.000000;2;False;False;1.000000
JacksonCore;15b;0.333333;2;clear;0.000000;0;False;True;0.333333
JacksonCore;16b;0.500000;12;clear;0.500000;5;False;False;0.500000
JacksonCore;17b;0.333333;5;clear;0.333333;27;False;False;0.333333
JacksonCore;18b;1.000000;4;clear;1.000000;18;False;False;1.000000
JacksonCore;1b;1.000000;3;clear;1.000000;2;False;False;1.000000
JacksonCore;20b;0.030769;1;clear;0.030769;2;False;False;0.030769
JacksonCore;21b;1.000000;24;clear;1.000000;9;False;False;1.000000
JacksonCore;22b;1.000000;13;clear;1.000000;16;False;False;1.000000
JacksonCore;24b;1.000000;8;clear;1.000000;5;False;False;1.000000
JacksonCore;26b;0.026316;1;clear;0.026316;1;False;False;0.026316
JacksonCore;2b;0.142857;1;clear;0.000000;0;False;True;0.142857
JacksonCore;3b;0.500000;3;clear;0.500000;7;False;False;0.500000
JacksonCore;4b;1.000000;1;clear;0.000000;0;False;True;1.000000
JacksonCore;6b;0.500000;2;clear;0.500000;3;False;False;0.500000
JacksonCore;7b;0.333333;4;clear;0.000000;0;False;True;0.333333
JacksonCore;8b;0.020000;4;clear;0.000000;0;False;True;0.020000
JacksonCore;9b;1.000000;10;clear;1.000000;9;False;False;1.000000
JacksonDatabind;100b;0.250000;10;clear;0.250000;2;False;False;0.250000
JacksonDatabind;101b;1.000000;5;clear;1.000000;7;False;False;1.000000
JacksonDatabind;102b;0.500000;6;clear;0.500000;1;False;False;0.500000
JacksonDatabind;103b;0.333333;1;clear;0.333333;4;False;False;0.333333
JacksonDatabind;104b;0.500000;3;clear;0.000000;0;False;True;0.500000
JacksonDatabind;105b;0.250000;1;clear;0.000000;0;False;True;0.250000
JacksonDatabind;106b;0.500000;1;clear;0.000000;0;False;True;0.500000
JacksonDatabind;107b;1.000000;3;clear;1.000000;2;False;False;1.000000
JacksonDatabind;108b;0.500000;3;clear;0.000000;0;False;True;0.500000
JacksonDatabind;109b;0.000000;0;notclear;1.000000;10;True;False;1.000000
JacksonDatabind;10b;0.200000;1;clear;0.000000;0;False;True;0.200000
JacksonDatabind;110b;0.500000;3;clear;0.000000;0;False;True;0.500000
JacksonDatabind;111b;0.166667;4;clear;0.000000;0;False;True;0.166667
JacksonDatabind;112b;0.500000;1;clear;0.000000;0;False;True;0.500000
JacksonDatabind;11b;1.000000;9;clear;1.000000;9;False;False;1.000000
JacksonDatabind;12b;0.250000;9;clear;0.000000;0;False;True;0.250000
JacksonDatabind;13b;1.000000;1;clear;1.000000;4;False;False;1.000000
JacksonDatabind;14b;1.000000;2;clear;0.000000;0;False;True;1.000000
JacksonDatabind;15b;0.333333;2;clear;0.000000;0;False;True;0.333333
JacksonDatabind;16b;1.000000;1;clear;0.000000;0;False;True;1.000000
JacksonDatabind;17b;1.000000;6;clear;1.000000;2;False;False;1.000000
JacksonDatabind;18b;1.000000;1;clear;1.000000;2;False;False;1.000000
JacksonDatabind;19b;0.166667;1;clear;0.000000;0;False;True;0.166667
JacksonDatabind;1b;1.000000;6;clear;1.000000;1;False;False;1.000000
JacksonDatabind;20b;0.500000;2;clear;0.500000;5;False;False;0.500000
JacksonDatabind;21b;0.250000;3;clear;0.000000;0;False;True;0.250000
JacksonDatabind;22b;0.250000;1;clear;0.000000;0;False;True;0.250000
JacksonDatabind;23b;1.000000;1;clear;0.000000;0;False;True;1.000000
JacksonDatabind;24b;0.500000;6;clear;0.500000;5;False;False;0.500000
JacksonDatabind;25b;1.000000;3;clear;0.000000;0;False;True;1.000000
JacksonDatabind;26b;1.000000;4;clear;0.000000;0;False;True;1.000000
JacksonDatabind;27b;1.000000;3;clear;0.000000;0;False;True;1.000000
JacksonDatabind;28b;1.000000;3;clear;0.000000;0;False;True;1.000000
JacksonDatabind;29b;1.000000;7;clear;0.000000;0;False;True;1.000000
JacksonDatabind;2b;1.000000;3;clear;0.000000;0;False;True;1.000000
JacksonDatabind;30b;1.000000;12;clear;1.000000;3;False;False;1.000000
JacksonDatabind;31b;0.014706;4;clear;0.000000;0;False;True;0.014706
JacksonDatabind;32b;1.000000;2;clear;0.000000;0;False;True;1.000000
JacksonDatabind;33b;0.000000;0;notclear;0.142857;1;True;False;0.142857
JacksonDatabind;34b;1.000000;19;clear;1.000000;10;False;False;1.000000
JacksonDatabind;35b;1.000000;12;clear;0.000000;0;False;True;1.000000
JacksonDatabind;36b;1.000000;2;clear;0.000000;0;False;True;1.000000
JacksonDatabind;37b;0.142857;7;clear;0.142857;6;False;False;0.142857
JacksonDatabind;38b;1.000000;1;clear;0.000000;0;False;True;1.000000
JacksonDatabind;39b;0.500000;2;clear;0.500000;5;False;False;0.500000
JacksonDatabind;3b;0.000000;0;notclear;0.500000;2;True;False;0.500000
JacksonDatabind;40b;0.250000;3;clear;0.000000;0;False;True;0.250000
JacksonDatabind;41b;1.000000;1;clear;1.000000;2;False;False;1.000000
JacksonDatabind;42b;1.000000;9;clear;0.000000;0;False;True;1.000000
JacksonDatabind;43b;0.500000;5;clear;0.000000;0;False;True;0.500000
