Version;TopDUAsStatus;DUAMaxFdp;NodeMaxFdp;EdgeMaxFdp;topDUANodeSubsumption;topDUAEdgeSubsumption;
Closure-99b;clear;0.5;0.0;0.0;False;True;
Closure-100b;clear;0.4545;0.0;0.0;True;True;
Closure-101b;clear;1.0;0.0;0.0;True;True;
Closure-102b;clear;1.0;0.0;0.0;True;True;
Closure-103b;clear;0.5;0.0;0.0;True;True;
Closure-104b;clear;1.0;0.0;0.0;True;True;
Closure-105b;clear;1.0;0.0;0.0;True;True;
Closure-106b;clear;1.0;0.0;0.0;True;True;
Closure-107b;clear;0.5;0.0;0.0;True;True;
Closure-108b;clear;0.2;0.0;0.0;True;True;
Closure-109b;clear;0.0058;0.0;0.0;True;True;
Closure-110b;clear;0.6667;0.0;0.0;True;True;
Closure-111b;clear;0.125;0.0;0.0;True;True;
Closure-112b;clear;0.25;0.0;0.0;True;True;
Closure-113b;clear;0.25;0.0;0.0;False;True;
Closure-114b;clear;0.125;0.0;0.0;True;True;
Closure-115b;clear;1.0;0.0;0.0;False;False;
Closure-116b;clear;0.5;0.0;0.0;True;True;
Closure-117b;clear;0.1667;0.0;0.0;False;False;
Closure-118b;clear;0.1429;0.0;0.0;True;True;
Closure-119b;clear;1.0;0.0;0.0;True;True;
Closure-120b;clear;0.125;0.0;0.0;True;True;
Closure-121b;clear;0.125;0.0;0.0;True;True;
Closure-122b;clear;0.0938;0.0;0.0;False;True;
Closure-123b;clear;1.0;0.0;0.0;True;True;
Closure-124b;clear;0.3333;0.0;0.0;False;True;
Closure-125b;clear;0.5;0.0;0.0;False;True;
Closure-126b;clear;1.0;0.0;0.0;True;True;
Closure-127b;clear;1.0;0.0;0.0;True;True;
Closure-128b;clear;0.5;0.0;0.0;False;True;
Closure-129b;clear;0.5;0.0;0.0;True;True;
Closure-130b;clear;0.25;0.0;0.0;True;True;
Closure-131b;clear;1.0;0.0;0.0;False;True;
Closure-132b;clear;1.0;0.0;0.0;True;True;
Closure-133b;clear;1.0;0.0;0.0;True;True;
Closure-134b;clear;1.0;0.0;0.0;True;True;
Closure-135b;clear;1.0;0.0;0.0;True;True;
Closure-136b;clear;1.0;0.0;0.0;True;True;
